UID;GUID;element;exit_codes;result_id;start;end;type
727AC67B-AD13-496A-912A-87586E15E681;00000000-0000-0008-4573-381491332398;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|1829|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|0|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|2|1;2017-04-04 14:00:20;2017-04-04 14:00:58;0.0
72E21861-D281-4BC7-88CF-E43F23DCDA4F;00000000-0000-0008-2418-981486068581;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|219|5477|1400|217|1562|207|1868|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|2672|5436|4886|5500|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|553|553|397|397|397|511|507|320|397|560|397|294|491|299|465|465|218|489|397|272|218|397|185|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-02-02 14:49:55;2017-02-02 14:50:13;0.0
763E4B6B-1310-4843-8020-EE93BAA80767;00000000-0000-0008-4320-491491600113;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|4881|2672|995|2732|5435|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|397|272|332|251|465|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-04-07 16:22:14;2017-04-07 16:22:40;0.0
78F24554-B6E1-4BFB-B34C-D2FD79D212DF;00000000-0000-0005-4484-451489774909;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|3625|965|3342|4866|242|1829|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|466|332|560|560|54|0|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|2|1;2017-03-17 13:22:16;2017-03-17 13:23:14;2.0
7F680518-89C2-4B5B-AFEC-FE5F524F1A52;00000000-0000-0005-2288-831486848776;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|219|5477|1400|217|1562|207|1868|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|5497|5005|4849|4861|5430|4589|935|1829|4594|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|553|553|397|397|397|511|507|320|397|560|397|294|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|580|397|397|218|295|397|174|0|397|174|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|2|1;2017-02-11 15:33:02;2017-02-11 15:33:33;0.0
850F7761-FD8B-44C5-9357-4F14275B9E8D;00000000-0000-0005-4235-941493919794;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5476|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|4848|5498|4865|5424|2041|4876|5485|5257|831|4868|5024|1847|1180|210|5046|204|4856|5041|838|837|4888|1840|4883|5427|3597|986|3110|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|363|397|397|560|397|220|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|491|218|397|491|397|397|326|397|491|426|128|397|397|397|507|397|397|16|397|397|0|491|397|372|397|397|121|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|2|1;2017-05-04 12:43:36;2017-05-04 12:44:32;0.0
88AA7A81-C854-49A6-AD42-F66F13C3B5C4;00000000-0000-0008-7289-141487179070;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|219|5477|1400|217|1562|4887|207|1868|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|5497|5005|4849|4861|5430|4589|935|4052|5429|5007|1834|3597|986|3110|4594|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|553|553|397|397|397|560|218|507|320|397|560|397|294|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|580|397|397|218|295|397|174|466|552|397|397|397|397|121|397|174|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-02-15 11:17:56;2017-02-15 11:18:43;0.0
91F30F73-0BC3-4E40-B40D-08B5B70D1843;00000000-0000-0008-2261-781495139920;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|5251|3567|4857|5426|4855|5428|3597|986|3110|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|397|231|332|560|560|303|397|218|302|234|397|19|397|219|397|397|121|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-05-18 15:38:55;2017-05-18 15:39:39;0.0
98CFF817-19BE-460A-A456-755C79F90283;00000000-0000-0004-9258-141484327440;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|4848|5498|4865|5424|2041|4876|5485|5257|831|4868|5024|1847|1180|210|5495|5005|4849|4861|5882|4589|935|4870|1408|3833|3834|1839|4590|936|5441|5442|211|208|215|205|4863|3249|3267|990|231|4864|4692|5277|5280|1531|5281|393|4284|4326|5654|4406|5397|4261|5559|4283|5173|4550|5174|4486|6055|5085|1908|626|6056|5677|4885|4693|5671|2457|6101|5158|4257|5289|2018|4778|4774|4436|3254|5851|4776|4274|5977|4719|5609|996|986|3110|4594|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|397|320|397|560|397|206|415|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|491|218|397|491|397|397|326|397|491|426|128|397|397|397|482|397|397|218|208|397|174|397|125|560|574|574|397|174|426|397|397|482|553|397|397|491|378|397|401|397|28|67|515|580|397|415|21|11|580|397|280|397|173|397|415|560|415|560|263|397|397|415|491|397|397|214|215|397|397|397|397|483|397|397|142|483|483|560|397|260|491|397|260|397|491|121|397|174|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-01-13 11:11:02;2017-01-13 11:12:16;0.0
9E3DC540-FE0C-4785-BD97-95CB20D59CDC;00000000-0000-0008-2627-921485783987;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|2828|4862|4848|5498|4865|5424|2041|4876|5485|5257|831|4868|5024|1847|1180|210|5495|5005|4849|4861|5882|4589|5743|3849|3851|4870|1408|3833|3834|1839|4590|4467|5653|3870|3858|4592|936|5441|5442|211|4851|4850|5042|4106|44|4885|4693|5671|2457|6101|5158|4257|5289|2018|4778|4774|4436|3254|5851|4776|5977|4719|5609|996|986|3110|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|397|231|332|560|560|256|397|491|218|397|491|397|397|326|397|491|426|128|397|397|397|482|397|397|218|208|397|43|397|397|301|125|560|574|574|397|328|579|397|133|301|43|426|397|397|507|129|218|397|507|397|214|215|397|397|397|397|483|397|397|142|483|483|560|397|483|397|123|397|491|121|397|328|301|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-01-30 07:46:39;2017-01-30 07:47:49;1.0
9EF941F9-14FF-4F5D-A894-7F90B3427DF1;00000000-0000-0004-9199-341489439603;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|219|5477|1400|217|1562|207|1868|1489|2020|1849|80|1168|2673|3509|1169|1829|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|553|553|397|397|397|511|507|320|397|560|397|294|491|299|465|0|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|2|1;2017-03-13 16:13:44;2017-03-13 16:13:49;0.0
A18F2F15-370E-4AD6-98BA-4086D6436EDF;00000000-0000-0008-7383-441488917125;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|219|5477|1400|217|1562|4887|207|1868|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|5497|5005|4849|4861|5430|4589|935|4870|1408|3833|3834|1839|4590|936|5441|5442|211|208|215|205|4863|1883|3249|3267|990|231|4864|4692|5277|5280|1531|5281|393|398|392|397|5427|3597|986|3110|4594|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|553|553|397|397|397|560|218|507|320|397|560|397|294|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|580|397|397|218|295|397|174|397|125|560|574|574|397|174|426|397|397|553|553|397|397|580|580|378|397|401|397|28|67|515|580|397|415|12|397|579|397|397|397|121|397|174|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-03-07 14:05:30;2017-03-07 14:06:46;0.0
A2096E38-119B-4306-8745-B27B5DC08702;00000000-0000-0005-0489-591485381120;6114|421|2814|1478|2040|3563|3621|1850|1032|2011|1487|77|212|219|5477|1400|217|1562|207|1868|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|2828|4862|5497|5005|4849|4861|5430|4589|935|4870|1408|3833|3834|1839|4590|936|5441|5442|211|208|215|205|4863|1883|4968|2828|4862|4848|5420|4865|5424|2041|1829|4594|2815|419|4892;489|397|397|397|218|491|465|397|218|397|397|77|553|553|397|397|397|511|507|320|397|560|397|294|491|299|465|465|218|489|397|231|332|560|560|256|397|580|397|397|218|295|397|174|397|125|560|574|574|397|174|426|397|397|553|553|397|397|580|491|397|397|491|332|397|491|397|0|397|174|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|2|1;2017-01-25 15:52:25;2017-01-25 15:53:10;0.0
A2E8FA1A-846F-4E70-BA93-ADD7DDA0D07F;00000000-0000-0008-4295-281488825463;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|219|5477|1400|217|1562|207|1868|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|5497|5005|4849|4861|5430|4589|5743|3849|3851|4870|5008|3127|5446|1845|4593|5100|3849|3851|4870|1408|3833|3834|1839|4590|4467|4191|5535|3870|3858|4592|936|5484|5006|836|835|4871|5441|5442|211|4851|4850|5042|4106|5490|44|4885|4693|5671|2457|6101|5158|4257|5289|2018|4778|4774|4436|4818|4117|4775|5170|4725|3254|5851|4776|5977|4719|1841|2482|5428|3597|986|3110|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|553|553|397|397|397|511|507|320|397|560|397|294|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|580|397|397|218|295|397|43|397|397|301|279|397|397|397|397|43|397|397|301|125|560|574|574|397|328|483|551|397|133|301|43|410|397|397|397|397|73|397|397|507|129|218|397|552|397|397|214|215|397|397|397|397|483|397|397|142|483|579|397|483|483|397|579|560|397|483|397|342|397|306|397|397|121|397|328|301|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-03-06 12:37:48;2017-03-06 12:39:13;0.0
A5AC009C-E577-4110-9809-05C097A0A941;00000000-0000-0008-1464-301486506237;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|3625|965|3342|4866|242|4869|5502|5428|3597|986|3110|4594|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|466|332|560|560|54|397|332|397|397|397|121|397|174|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-02-07 16:24:19;2017-02-07 16:25:07;0.0
AEEEADC9-CEE5-4CB3-BEDB-52E4F4528A44;00000000-0000-0005-5500-121492470064;6114|421|2814|1478|2040|3563|3622|1850|1032|5425|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4888|1840|4883|463|2828|4862|4848|5498|4865|156|5424|2041|4888|1840|4883|4859|5045|5427|3597|986|3110|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|332|397|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|397|231|332|560|560|252|0|491|397|53|218|397|491|218|397|580|397|397|0|491|397|474|491|397|397|397|121|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-04-17 18:01:19;2017-04-17 18:02:15;2.0
B0E9AEB9-83F0-4FD8-8213-A91F1CF4DE2A;00000000-0000-0008-6361-231484764289;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|219|5477|1400|217|1562|207|1868|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|5497|5005|4849|4861|5430|4589|935|4870|1408|3833|3834|1839|4590|936|5441|5442|211|208|215|205|4863|1883|3249|3267|990|231|4864|4692|5277|5280|1531|5281|393|4284|4326|5654|4406|5397|4261|5559|4283|5173|4550|5174|4486|6055|5085|1908|626|6056|5677|4885|4693|5671|2457|6101|5158|4257|5289|2018|4778|4774|4436|3254|5851|4776|4274|5977|4719|5609|996|986|3110|4594|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|553|553|397|397|397|511|507|320|397|560|397|294|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|580|397|397|218|295|397|174|397|125|560|574|574|397|174|426|397|397|553|553|397|397|580|580|378|397|401|397|28|67|515|580|397|415|21|11|580|397|280|397|173|397|415|560|415|560|263|397|397|415|491|397|397|214|215|397|397|397|397|483|397|397|142|483|483|560|397|260|491|397|260|397|491|121|397|174|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-01-18 12:31:51;2017-01-18 12:32:55;0.0
B4BD1F1E-1332-465B-B23D-41D01C60BE4F;00000000-0000-0005-4235-141493145059;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|218|5477|1400|217|1562|207|1868|1489|2020|1849|80|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|5497|5005|4849|4861|5430|4589|5743|3849|3851|4870|5008|3127|5446|1845|4593|5100|3849|3851|4870|1408|3833|3834|1839|4590|4467|4191|5535|3870|3858|4592|936|5484|5006|836|835|4871|5441|5442|211|4851|4850|5042|4106|5490|44|4885|4693|2478|4432|5671|2457|6101|5158|4257|5289|2018|4778|4774|4436|3254|5851|4776|5977|4719|1841|2482|5428|3597|986|3110|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|553|553|397|397|397|511|507|320|397|560|397|294|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|580|397|397|218|295|397|43|397|397|301|279|397|397|397|397|43|397|397|301|125|560|574|574|397|328|483|551|397|133|301|43|410|397|397|397|397|73|397|397|507|129|218|397|552|397|397|214|215|397|218|397|397|397|397|483|397|397|142|483|483|560|397|483|397|342|397|306|397|397|121|397|328|301|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-04-25 13:31:14;2017-04-25 13:32:29;0.0
B8FECCB8-E4EA-4F58-A641-65589402EBE8;00000000-0000-0004-9650-001490989406;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|4881|2672|5436|4886|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|397|272|218|397|120|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-03-31 14:43:46;2017-03-31 14:44:07;0.0
BC4EF95E-649D-4E4C-BF55-5C2F4E8F9BA9;00000000-0000-0008-2119-121490650612;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|242|4869|463|2828|4862|4848|5498|4865|5424|2041|4888|1840|4883|4859|5050|3138|4885|4693|5671|2457|6101|5158|4257|5289|2018|4778|4774|4436|3254|5851|4776|5977|4719|1841|2482|5428|3597|986|3110|4594|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|397|231|332|560|560|54|397|218|218|397|491|218|397|491|397|0|491|397|474|580|397|397|214|215|397|397|397|397|483|397|397|142|483|483|560|397|483|397|342|397|306|397|397|121|397|174|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-03-27 16:36:57;2017-03-27 16:37:54;0.0
BF87159F-76F6-4AEB-8F85-3A5EE055B6E4;00000000-0000-0005-0462-931483999575;6114|421|2814|1478|2040|3563|3622|1850|1032|2011|1487|77|212|5479|1398|5478|1562|207|1868|1489|2020|1849|80|5273|1168|2673|3509|1169|4879|4588|3081|4881|3625|965|3342|4866|2828|4862|4848|5498|4865|5424|2041|1846|4873|5043|5499|2045|4888|1840|4883|4859|5050|3138|4885|4693|5671|2457|6101|5158|4257|5289|2018|4778|4774|4436|3254|5851|4776|5977|4719|5609|996|986|3110|4594|3853|2815|419|4892;489|397|397|397|218|580|465|397|218|397|397|77|482|397|397|397|511|507|320|397|560|397|206|415|491|299|465|465|218|489|397|231|332|560|560|256|397|491|218|397|491|397|466|397|139|397|397|0|491|397|474|580|397|397|214|215|397|397|397|397|483|397|397|142|483|483|560|397|483|397|123|397|491|121|397|328|249|397|0|397;1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1;2017-01-09 16:06:38;2017-01-09 16:07:32;2.0
